cycle,state_id,value
79,fcc448de,2.0894753856074457
80,16c7fe13,4.225493537505204
80,d29c5939,1.3204806138944876
80,b5e8a1b6,3.080271704015019
80,a44bddae,4.6289773429656655
81,60efea9b,4.309488714469376
82,50dbf8b1,1.4125889167572272
82,cba852af,6.476626967925005
83,d8ea74bc,2.277995521075851
83,79073579,1.396491442013425
84,378ba61e,4.2966439538854315
84,b29fdfef,1.2810780641125747
84,988e1f8e,4.508473399428236
85,4d58cd52,1.6461143644330332
85,e24a1928,4.706744004378088
85,48844e24,4.888582986668252
86,f297bb37,5.068330417405288
86,af017c64,1.1974937659813198
86,7504babf,5.051263588840602
87,35ae0d32,4.259674106979408
87,bbdb871c,1.7565597569119957
87,4c15a92a,4.692547810522795
87,cd8c071a,4.96485870091411
88,d43885d7,2.274912715811359
89,560c3994,4.399706677136447
89,8e92dd48,5.099972209796299
90,8ac69704,5.622982605310816
90,37571102,4.754531399130244
90,b3e5f466,5.922393757765482
91,fb6514cd,5.071923640571088
91,2ccac022,6.427148587928617
91,b2704aea,4.74795197973404
91,02e97198,4.397317499265809
92,30f76090,1.2787495303044192
93,ede48d57,5.902664643721396
93,6d5cb558,2.40873580298218
93,f9b7afce,6.686261582995252
93,31b7eba0,6.5649460484242255
94,48763a0b,0.7881571162930375
94,6e832fd5,3.463038023868514
95,4e8c6806,6.80252485205669
95,2892c17b,2.484398720680588
95,39a9e58d,6.907424241789615
95,1a45749f,2.442351563149874
96,913a1c8f,2.9980648204930946
96,b39848dc,1.4192209340295123
96,0c91a477,5.5846384930394715
96,31ccf44f,6.822788770815766
97,30562c6b,1.4193911657769311
98,09630619,5.524043361288294
98,cc9c388d,1.2912266599885522
99,09ef4acd,7.4556012405495675
99,fe63ae12,4.6789397481569805
99,e1093d0c,5.152766877989201
